"ParticipantID","TrialType","TrialDuration","TrialNumber","PracticeTrial","FractalId","RandomTarget1","RandomTarget2","TargetId","Clicks","BlocksRevealed","WindowResized"
"1bd82abf-07f6-1e5e-4b30-4585f4135172",1,20000,1,1,9,43,32,32,61,15,0
"1bd82abf-07f6-1e5e-4b30-4585f4135172",1,20000,2,1,5,52,22,52,26,11,1
"1bd82abf-07f6-1e5e-4b30-4585f4135172",1,20000,3,0,24,9,47,9,5,3,0
"1bd82abf-07f6-1e5e-4b30-4585f4135172",1,20000,4,0,20,6,17,6,18,13,0
