"ParticipantID","TrialType","TrialDuration","TrialNumber","PracticeTrial","FractalId","RandomTarget1","RandomTarget2","TargetId","Clicks","BlocksRevealed"
"4a9ddd4f-3eb3-f990-592d-ae866460cf20",1,5000,1,1,8,48,51,51,13,2
"4a9ddd4f-3eb3-f990-592d-ae866460cf20",1,5000,2,1,13,26,56,26,2,0
"4a9ddd4f-3eb3-f990-592d-ae866460cf20",1,5000,3,0,21,34,22,34,25,3
"4a9ddd4f-3eb3-f990-592d-ae866460cf20",1,5000,4,0,29,36,63,63,18,0
